,SBO,NETM,BL,B,G,E
PtN,6.96209,0.72152,2.239891315,232.64,25.222,73.028
AuN,6.03996,0.640381,2.324395692,172.9,28.821,81.912
HgN,5.305109,0.649018,2.428227566,122.52,35.279,96.568
CoTa3N4,8.12447025,1.10443025,2.157414315,327.15,126.05,335.11
CrTa3N4,8.184677,1.22862825,2.173349656,313.62,123.81,328.24
FeTa3N4,8.12254375,1.09766,2.167428792,302.15,123.39,325.82
HfTa3N4,8.385479,1.237518,2.22435588,313.28,128.68,339.55
MnTa3N4,8.14946425,1.10747325,2.172912989,300.58,107.94,289.2
MoTa3N4,8.556549,1.18299725,2.199779024,330.43,104.85,284.47
NbTa3N4,8.5176605,1.2175605,2.209979498,324.76,136.4,358.94
NiTa3N4,8.00741525,1.09896075,2.165173821,319.19,115.76,309.82
ScTa3N4,7.79341,1.2822035,2.22232049,301.19,151.41,389.04
TiTa3N4,8.1150055,1.29397125,2.188704942,318.37,137.4,360.36
VTa3N4,8.23296325,1.26078875,2.17257384,324.92,142.8,373.67
WTa3N4,8.72517025,1.164319813,2.202356655,335.73,90.835,249.96
YTa3N4,7.8397785,1.2700515,2.26889276,278.26,137.78,354.78
ZnTa3N4,7.8182735,1.10285025,2.196783209,293.95,80.095,220.28
ZrTa3N4,8.29169525,1.255389,2.23201557,306.68,130.16,342.09
Al2Ta2N4,7.0436715,1.4108315,2.122215408,258,88.855,239.11
Co2Ta2N4,7.6166225,1.0200505,2.104644942,306.53,115.2,307.13
Cr2Ta2N4,7.737036,1.2684465,2.136515624,281.51,144.75,370.72
Fe2Ta2N4,7.6127695,1.00651,2.124673896,265.28,110.91,292.04
Hf2Ta2N4,8.13864,1.286226,2.238528071,297.82,147.51,379.83
Mn2Ta2N4,7.6666105,1.0261365,2.135642289,354.11,122.83,330.31
Mo2Ta2N4,8.48078,1.1771845,2.18937436,328.73,64.485,181.58
Nb2Ta2N4,8.403003,1.246311,2.209775308,319.3,137.6,360.95
Ni2Ta2N4,7.3825125,1.0091115,2.120163953,295.69,109.51,292.43
Sc2Ta2N4,6.954502,1.375597,2.234457292,268.9,166.12,413.27
Ti2Ta2N4,7.597693,1.3991325,2.167226196,306.35,162.31,413.85
V2Ta2N4,7.8336085,1.3327675,2.134963992,313.51,149.56,387.11
Y2Ta2N4,7.047239,1.351293,2.327601832,231.43,141.17,351.96
Zn2Ta2N4,7.004229,1.0168905,2.183382729,264.56,122.04,317.33
Zr2Ta2N4,7.9510725,1.321968,2.253847452,287.78,145.15,372.78
AlTi3N4,6.28605725,1.6153045,2.101763309,265.62,174.5,429.46
CoTi3N4,6.57253275,1.419914,2.092978076,281.49,164.05,412.09
CrTi3N4,6.6327395,1.544112,2.108913418,274.09,168.18,418.87
FeTi3N4,6.57060625,1.41314375,2.102992553,282.68,164.43,413.18
HfTi3N4,6.8335415,1.55300175,2.159919641,270.04,172.88,427.44
MnTi3N4,6.59752675,1.422957,2.10847675,288.81,167.47,421.03
MoTi3N4,7.0046115,1.498481,2.135342786,290.45,160.59,406.79
NbTi3N4,6.965723,1.53304425,2.145543259,284.98,187.32,460.96
NiTi3N4,6.45547775,1.4144445,2.100737582,270.33,155.28,390.97
ScTi3N4,6.2414725,1.59768725,2.157884251,253.72,183.59,443.75
TaTi3N4,7.0803805,1.50429375,2.14574745,292.34,189.2,466.88
VTi3N4,6.68102575,1.5762725,2.108137601,284.57,190.03,466.31
WTi3N4,7.17323275,1.479803563,2.137920417,299.49,161.35,410.36
YTi3N4,6.287841,1.58553525,2.204456522,228.1,159.62,388.29
ZnTi3N4,6.266336,1.418334,2.13234697,254.55,161.22,399.34
ZrTi3N4,6.73975775,1.57087275,2.167579331,262.49,166.56,412.44
Al2Ti2N4,6.0090465,1.621154,2.079257915,255.16,188.23,453.24
Co2Ti2N4,6.5819975,1.230373,2.061687449,277.46,136.24,351.23
Cr2Ti2N4,6.702411,1.478769,2.093558132,267.63,172.66,426.31
Fe2Ti2N4,6.5781445,1.2168325,2.081716403,234.85,137.6,345.36
Hf2Ti2N4,7.104015,1.4965485,2.195570578,268.04,167.33,415.53
Mn2Ti2N4,6.6319855,1.236459,2.092684797,231.73,147.45,364.95
Mo2Ti2N4,7.446155,1.387507,2.146416868,303.75,122.8,324.64
Nb2Ti2N4,7.368378,1.4566335,2.166817815,293.55,160.57,407.43
Ni2Ti2N4,6.3478875,1.219434,2.077206461,264.88,135.57,347.44
Sc2Ti2N4,5.919877,1.5859195,2.191499799,234.49,177.49,425.19
V2Ti2N4,6.7989835,1.54309,2.092006499,295.08,181.18,451.2
W2Ti2N4,7.7833975,1.350152125,2.15157213,320.16,125.3,332.52
Y2Ti2N4,6.012614,1.5616155,2.28464434,197.29,144.9,349.21
Zn2Ti2N4,5.969604,1.227213,2.140425236,225.33,112.67,289.71
Zr2Ti2N4,6.9164475,1.5322905,2.210889959,255.74,157.8,392.65
AlZr3N4,6.8161265,1.49955775,2.231695193,226.26,119.23,304.25
CoZr3N4,7.102602,1.30416725,2.22290996,255.84,141.62,358.69
CrZr3N4,7.16280875,1.42836525,2.238845301,233.88,149.22,369.16
FeZr3N4,7.1006755,1.297397,2.232924437,254.17,137.61,349.73
HfZr3N4,7.36361075,1.437255,2.289851524,254.27,150.73,377.59
MnZr3N4,7.127596,1.30721025,2.238408633,293.47,148.36,380.9
MoZr3N4,7.53468075,1.38273425,2.265274669,262.48,141.9,360.7
